43847,0.039,-0.154,1.057,-5.427,-0.518,-6.372,28.254
43853,0.042,-0.170,1.053,-3.689,0.061,-7.622,28.227
43859,0.048,-0.178,1.037,-1.738,1.006,-9.024,28.236
43865,0.048,-0.175,1.039,0.732,2.287,-10.335,28.248
43871,0.042,-0.152,1.040,3.567,3.049,-10.701,28.251
43877,0.029,-0.123,1.042,6.311,3.018,-10.640,28.242
43883,0.010,-0.093,1.050,8.171,2.256,-10.305,28.218
43889,0.008,-0.065,1.051,8.506,1.463,-9.817,28.239
43895,0.011,-0.046,1.052,7.805,1.037,-9.329,28.239
43901,0.005,-0.036,1.062,5.976,-0.030,-8.384,28.230
43907,-0.008,-0.038,1.058,4.329,-2.226,-7.561,28.242
43913,-0.010,-0.037,1.045,3.018,-4.207,-7.530,28.262
43919,-0.003,-0.051,1.046,1.494,-5.640,-7.591,28.256
43925,0.011,-0.062,1.005,0.061,-6.646,-8.262,28.224
43931,0.026,-0.075,0.997,-0.762,-6.280,-8.750,28.239
43937,0.043,-0.074,0.976,-0.854,-4.573,-8.323,28.221
43943,0.046,-0.079,0.975,0.305,-1.585,-7.043,28.254
43949,0.037,-0.083,0.976,2.287,1.829,-5.335,28.262
43955,0.018,-0.088,0.986,4.329,4.329,-4.116,28.256
43961,0.016,-0.081,0.998,6.616,6.494,-3.049,28.251
43967,0.004,-0.077,1.015,7.957,7.195,-1.829,28.259
43973,-0.007,-0.062,1.037,8.902,7.256,-0.549,28.256
43979,-0.025,-0.048,1.053,8.872,5.488,0.884,28.239
43985,-0.047,-0.036,1.080,7.896,2.591,1.585,28.251
43991,-0.057,-0.038,1.082,5.732,-1.006,1.646,28.242
43997,-0.049,-0.038,1.084,3.079,-4.451,1.250,28.251
44003,-0.048,-0.037,1.066,-0.152,-7.835,0.549,28.239
44009,-0.033,-0.034,1.040,-2.744,-10.152,-0.122,28.224
44015,0.003,-0.043,1.029,-4.085,-10.152,0.457,28.245
44021,0.024,-0.043,1.024,-3.140,-9.024,2.500,28.224
44027,0.031,-0.047,1.039,-1.098,-7.287,5.061,28.262
44033,0.021,-0.068,1.054,0.122,-6.037,6.799,28.254
44039,0.028,-0.087,1.053,0.427,-5.762,7.043,28.242
44045,0.025,-0.102,1.056,0.335,-5.427,6.250,28.251
44051,0.028,-0.116,1.040,0.091,-4.848,4.878,28.256
44057,0.034,-0.119,1.041,0.274,-3.811,3.506,28.239
44063,0.031,-0.124,1.042,0.823,-3.079,2.226,28.230
44069,0.024,-0.116,1.044,1.494,-2.866,1.159,28.239
44075,0.016,-0.106,1.054,2.287,-3.323,0.579,28.248
44081,0.015,-0.094,1.059,3.079,-4.268,0.823,28.256
44087,0.013,-0.080,1.058,4.177,-5.488,1.280,28.236
44093,0.012,-0.076,1.069,4.024,-6.616,1.280,28.242
44099,0.009,-0.088,1.067,3.232,-8.323,0.701,28.268
44105,0.025,-0.092,1.042,3.628,-9.451,0.183,28.212
44111,0.040,-0.076,1.020,5.488,-9.299,0.579,28.271
44117,0.047,-0.069,1.024,6.860,-8.933,1.341,28.224
44123,0.043,-0.066,1.029,7.378,-8.780,1.616,28.209
44129,0.046,-0.073,1.035,6.860,-8.293,1.768,28.218
44135,0.058,-0.078,1.026,5.671,-6.433,1.799,28.212
44141,0.045,-0.085,1.029,4.573,-4.604,1.585,28.259
44147,0.049,-0.080,1.020,3.293,-3.293,1.098,28.215
44153,0.038,-0.083,1.011,2.683,-2.866,0.579,28.227
44159,0.039,-0.080,1.002,2.470,-2.317,0.061,28.218
44165,0.054,-0.067,1.000,2.835,-1.037,0.030,28.262
44171,0.060,-0.063,1.018,3.598,1.067,0.823,28.224
44177,0.058,-0.074,1.035,4.085,2.378,1.616,28.268
44183,0.043,-0.099,1.060,5.152,3.201,2.134,28.248
44189,0.040,-0.104,1.068,6.707,3.110,2.256,28.236
44195,0.032,-0.112,1.077,7.561,2.835,1.738,28.256
44201,0.020,-0.122,1.081,7.317,1.433,0.091,28.230
44207,0.014,-0.114,1.073,6.616,-0.640,-2.256,28.239
44213,0.027,-0.099,1.065,5.793,-1.738,-4.177,28.233
44219,0.027,-0.079,1.051,4.878,-2.378,-4.909,28.245
44225,0.021,-0.063,1.036,4.055,-2.774,-5.122,28.245
